quarter_measurement_end,epoch_id,op_retail_sellthrough_yoy_pct,op_retail_scope,op_retail_denominator,op_retail_window,op_distribution_note,op_evidence_class,acc_revenue_usd_m,acc_revenue_yoy_pct,acc_revenue_scope,acc_gross_margin_pct,acc_inventory_net_usd_m,acc_accounts_receivable_usd_m,acc_accrued_promo_allowance_usd_m,acc_translation_note,acc_evidence_class,acc_available_at,rec_construction,rec_state_at_available_at,rec_last_completed_2w_bar,rec_hist_sign,rec_hist_first_diff,rec_crosses_in_quarter,rec_evidence_class,wedge_sellin_minus_sellthrough_pp,wedge_comparability
2022-03-31,M0,not_available_for_date,not_applicable,not_available_for_date,not_available_for_date,not_available_for_date,missing,133.4,not_available_for_date,consolidated,40.4,184.1,72.7,not_available_for_date,Pre-transition; single-counterparty concentration does not yet exist,observed_numeric,2022-05-10,2W-FRI + macd_hist 12-26-9 completed-bar,bear,2022-04-29,negative,expanding,none,derived_deterministic,not_available_for_date,"No issuer-cited sell-through leg in this era — wedge is not_reconstructable, not zero"
2022-06-30,M0,not_available_for_date,not_applicable,not_available_for_date,not_available_for_date,not_available_for_date,missing,154.0,not_available_for_date,consolidated,38.5,162.1,66.2,not_available_for_date,Last full quarter before the PepsiCo agreements,observed_numeric,2022-08-09,2W-FRI + macd_hist 12-26-9 completed-bar,bull,2022-08-05,positive,expanding,none,derived_deterministic,not_available_for_date,not_reconstructable
2022-09-30,M1,not_available_for_date,not_applicable,not_available_for_date,not_available_for_date,not_available_for_date,missing,188.2,not_available_for_date,consolidated,41.8,153.9,117.0,not_available_for_date,"Selling & marketing expense $198.8M = 105.6% of revenue — legacy distributor termination charges. Gross margin UNAFFECTED (41.8%): the transition cost sat below gross profit.",observed_numeric,2022-11-09,2W-FRI + macd_hist 12-26-9 completed-bar,bull,2022-10-28,positive,contracting,2022-07-08:bullish_cross,derived_deterministic,not_available_for_date,not_reconstructable
2022-12-31,M1,not_available_for_date,not_applicable,not_available_for_date,not_available_for_date,not_available_for_date,missing,178.0,not_available_for_date,consolidated,not_available_for_date,173.3,63.3,not_available_for_date,Q4 revenue is derived_deterministic (FY minus Q1-Q3); available_at is the FY filing date,derived_deterministic,2023-03-01,2W-FRI + macd_hist 12-26-9 completed-bar,bear,2023-02-17,negative,contracting,none,derived_deterministic,not_available_for_date,not_reconstructable
2023-03-31,M1,not_available_for_date,CELSIUS brand,not_available_for_date,not_available_for_date,not_available_for_date,missing,259.9,94.8,consolidated,43.8,154.3,172.0,not_available_for_date,"CRITICAL: at available_at 2023-05-09 the 10-Q disclosed NO pipeline-fill. The ~$25M inventory buildup benefit in this quarter was first disclosed 2024-05-07 — 364 days after the original filing.",observed_numeric,2023-05-09,2W-FRI + macd_hist 12-26-9 completed-bar,bear,2023-04-28,negative,expanding,2023-02-03:bearish_cross,derived_deterministic,not_available_for_date,"Sell-through leg for this quarter exists only under the issuer's CUSTOM 'Celsius Custom Energy Segment' denominator — not comparable to later RTD Energy reads"
2023-06-30,M1,not_available_for_date,CELSIUS brand,Celsius Custom Energy Segment (MULO+C),not_available_for_date,not_available_for_date,issuer_claim_directional,325.9,111.6,consolidated,48.8,152.5,197.8,not_available_for_date,Gross margin inflects up ~500bps YoY,observed_numeric,2023-08-08,2W-FRI + macd_hist 12-26-9 completed-bar,bull,2023-08-04,positive,contracting,2023-05-12:bullish_cross,derived_deterministic,not_available_for_date,Custom-segment denominator
2023-09-30,M1,161.0,CELSIUS brand,Celsius Custom Energy Segment (MULO+C),12 weeks ended 2023-10-08,not_available_for_date,issuer_claim_numeric,384.8,104.5,consolidated,50.4,198.7,215.2,not_available_for_date,Inventory +30% QoQ ahead of Q4,observed_numeric,2023-11-07,2W-FRI + macd_hist 12-26-9 completed-bar,bull,2023-10-27,positive,contracting,none,derived_deterministic,-56.5,"NOT COMPARABLE to 2024+ rows: custom segment denominator, 12-week window, and window end (10/08) does not match the quarter end (09/30)"
2023-12-31,M1,126.6,CELSIUS brand,Celsius Custom Energy Segment (MULO+C),13 weeks ended 2023-12-31,not_available_for_date,issuer_claim_numeric,347.4,95.2,consolidated,not_available_for_date,229.3,183.7,99.787,Inventory peaks at $229.3M; accrued promotional allowance $99.8M = 28.7% of quarterly revenue,derived_deterministic,2024-02-29,2W-FRI + macd_hist 12-26-9 completed-bar,bear,2024-02-16,negative,expanding,2023-11-24:bearish_cross,derived_deterministic,-31.4,Custom-segment denominator
2024-03-31,M2,72.1,CELSIUS brand,RTD Energy (Total US MULOC),13 weeks ended 2024-03-31,not_available_for_date,issuer_claim_numeric,355.7,36.9,consolidated,51.2,197.5,200.1,129.201,"FIRST DESTOCK DISCLOSURE. Largest distributor days-on-hand declined vs Q4 => approx -$20M revenue impact; Q1-2023 comparative retro-disclosed as having BENEFITED approx +$25M from inventory buildup. Largest distributor = 62% of North American sales.",issuer_claim_numeric,2024-05-07,2W-FRI + macd_hist 12-26-9 completed-bar,bull,2024-04-26,positive,contracting,2024-03-01:bullish_cross,derived_deterministic,-35.2,"Denominator changes here (custom segment -> RTD Energy MULOC). Wedge is comparable only from this row forward, and only through 2024-06-30."
2024-06-30,M2,36.5,CELSIUS brand,RTD Energy (Total US MULOC),13 weeks ended 2024-06-30,not_available_for_date,issuer_claim_numeric,402.0,23.4,consolidated,52.0,180.7,262.9,156.479,"Second consecutive destock quarter: 'reduction in inventory days on hand by a large distributor'. Accrued promotional allowance +21% QoQ while revenue +13% QoQ.",issuer_claim_numeric,2024-08-06,2W-FRI + macd_hist 12-26-9 completed-bar,bear,2024-08-02,negative,contracting,2024-06-21:bearish_cross,derived_deterministic,-13.1,Comparable to 2024-03-31
