id,family,advertised_capability,fanout_lane,canonical_owner_route,initial_disposition,authority_at_adoption,status
MO-PAID-001,Macro,"Macro regime detection — growth, inflation, labor, liquidity",F01-MACRO-MARKETS,"GMI/TXI + Market OS",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-002,Markets,Rates monitoring,F01-MACRO-MARKETS,"market-data/GMI + Market OS",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-003,Markets,FX monitoring,F01-MACRO-MARKETS,"market-data/GMI + Market OS",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-004,Markets,Commodities monitoring,F01-MACRO-MARKETS,"market-data/GMI + Market OS",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-005,Markets,Cross-asset monitoring,F01-MACRO-MARKETS,"TXI/GMI + Market OS",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-006,Policy,Country dossiers,F02-POLICY-GEO,"existing policy/geopolitics owners + Market OS",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-007,Policy,Policy & legislation tracker,F02-POLICY-GEO,"existing policy/government owners + Market OS",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-008,Geopolitics,Live geopolitical event map,F02-POLICY-GEO,"existing geopolitics/event owners + Market OS",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-009,Briefing,Daily intelligence brief,F01-MACRO-MARKETS,"Market OS projection over canonical owners",PROJECTION_OVER_EXISTING,display_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-010,Options,Core options intelligence,F03-OPTIONS-EXPRESSION,"existing options owner + Market OS",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-011,Briefing,AM Edition premarket briefing,F01-MACRO-MARKETS,"Market OS projection over canonical owners",PROJECTION_OVER_EXISTING,display_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-012,Options,Full options — volatility surface,F03-OPTIONS-EXPRESSION,"existing options owner",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-013,Options,Full options — skew,F03-OPTIONS-EXPRESSION,"existing options owner",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-014,Options,Full options — term structure,F03-OPTIONS-EXPRESSION,"existing options owner",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-015,Options,Full options — flow signals,F03-OPTIONS-EXPRESSION,"existing options/flow owner",UPGRADE_EXISTING,research_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-016,Ontology,Cross-asset transmission / causal graphs,F04-ONTOLOGY-TRANSMISSION,"TXI/GMI + Alpha K3",UPGRADE_EXISTING,research_display_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-017,Events,Event-to-asset mapping,F05-EVENT-IMPACT,"Earnings/Event owners + Alpha K3/K5",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-018,Events,Causal Impact workflow,F05-EVENT-IMPACT,"Event owners + Eval OS + Alpha K3/K5",UPGRADE_EXISTING,research_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-019,Capital Markets,Capital-markets tools / tape,F09-CAPITAL-MATERIALS,"existing capital-markets/company owners + Market OS",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-020,Equity Research,Stock-research tools,F06-SECURITY-RESEARCH,"WS:MARKET-OS",UPGRADE_EXISTING,display_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-021,Equity Research,Ticker Workspace,F06-SECURITY-RESEARCH,"WS:MARKET-OS",UPGRADE_EXISTING,display_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-022,Equity Research,Valuation Finder / event-to-assumption view,F07-VALUATION-SCENARIO,"FIF + WS:MARKET-OS",BUILD_NEW,research_display_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-023,Politics,Political intelligence,F02-POLICY-GEO,"existing politics/policy owners + Market OS",UPGRADE_EXISTING,context_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-024,Opportunity,Arbitrage opportunity scanner,F04-ONTOLOGY-TRANSMISSION,"Alpha K5 + Dislocation + Market OS",RESEARCH_CONTEXT_ONLY,research_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-025,FX,FX Dislocation Desk,F01-MACRO-MARKETS,"Dislocation + market-data/GMI + Market OS",UPGRADE_EXISTING,research_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-026,Scenario,Scenario analytics,F07-VALUATION-SCENARIO,"Market OS + TXI/FIF/Portfolio owners",BUILD_NEW,research_display_only,PENDING_OPERATOR_RECONCILIATION
MO-PAID-027,Alerts,Alerts and monitoring,F08-PORTFOLIO-ALERTS,"WS:MARKET-OS",BUILD_NEW,notification_only,PENDING_OPERATOR_RECONCILIATION
