observation_id,method,public_route_or_surface,observed_functional_state,existing_record_relation,candidate_classification,proposed_reconciliation_lane,evidence_status,access_boundary,visible_structure,action_affordance,action_result_or_auth_boundary,transition_contract,persistence_status,entitlement_status
"P-ARCHIVE-001","archive-first-local-receipt","historical-public-P1","Exact V5 CSV and JSON twins absent from checked repository refs/local archive/Downloads packet/old P1 worktree/local filename index","DSC-MARKET-ONTOLOGY-PUBLIC-P1-CORPUS-RETAINED-OUTSIDE-GITHUB","HISTORICAL_ARCHIVE_BLOCKER","F00","VERIFIED_ABSENCE_ON_BOUNDED_SURFACE","No reconstruction permitted","No product visual state","No import action taken","Exact bytes were not found","Exact-byte import and hash match are the only closure transition","NOT_APPLICABLE_ARTIFACT_ABSENT","NOT_APPLICABLE"
"P-ROUTES-001","sitemap-indexed-route-inventory","public-sitemaps","292 static plus 7 owned plus 11 geonews plus 10 map-the-world plus 25 public plus 3087 equities plus 2088 events plus 55 news URLs","Not represented as a route-family preservation receipt","ROUTE_FAMILY_PRESERVATION_GAP","F00+F05+F06","OBSERVED_PUBLIC_INDEX","No mass content crawl","XML route inventory grouped by public family","Public URLs available for representative selection","Only sitemap indexes were read","Route family leads to representative entity/event/public samples","NOT_APPLICABLE_ROUTE_INDEX","PUBLIC_ROUTE_INDEX_SUBJECT_TO_ROBOTS"
"P-ENTITY-001","sitemap-indexed-dynamic-sample","/equities/NVDA","Entity page links current event impacts to a ticker ledger","MO-PAID-021 Ticker Workspace","DEPTH_EXPANSION","F06","OBSERVED_PUBLIC","Representative dynamic-route sample only","Breadcrumb/entity summary/recent-impact list/full-ledger link","Full-ledger link visible","Ledger route opened directly as public read-only page","Entity to full impact ledger","UNPROVEN_NO_USER_STATE_CREATED","PUBLIC_READ_ONLY"
"P-ENTITY-002","sitemap-indexed-dynamic-sample","/equities/NVDA/impact-ledger","Assumption change records display date field direction magnitude confidence and pair with event impact records using date channel direction horizon impact","MO-PAID-021 and MO-PAID-022 plus event-to-asset mapping","COMPOSED_OBJECT_CONTRACT_GAP","F06+F07","OBSERVED_PUBLIC","Do not infer current values as canonical data","Assumption-change table/event-impact log/upgrade call to action","Trial call to action visible","No trial or user action used","Event impact maps to typed assumption-change history","OBSERVED_READ_ONLY_HISTORY_EXISTS; USER_STATE_NOT_TESTED","PUBLIC_READ_ONLY; EXTENDED_CONTINUOUS_COVERAGE_NOT_TESTED"
"P-EVENT-001","sitemap-indexed-dynamic-sample","/events/2026-08-26/nvidia-reports-q2-earnings-today-amid-high-growth-expectations","Event record visibly carries time/type/confidence/verification/mechanism/exposed-assets state","MO-PAID-017 and MO-PAID-018","DEPTH_EXPANSION","F05","OBSERVED_PUBLIC","Representative dynamic-route sample only","Breadcrumb/event detail/transmission and mechanism/exposed-assets sections","Trial call to action visible","No trial or follow-on action used","Event detail to exposed assets and advertised platform routing","UNPROVEN_NO_USER_STATE_CREATED","PUBLIC_READ_ONLY"
"P-RESEARCH-001","direct-product-state","/research-terminal","Catalyst ranking page visibly presents continuation to ticker valuation policy capital-markets and scenario/portfolio research with evidence mechanism risks invalidation and monitoring fields","MO-DELTA-006 and related baseline rows","TRANSITION_GRAPH_GAP","F04 cross-lane with F05-F09","OBSERVED_PUBLIC","No subscription or internal controls used","Opportunity table/multi-panel research workflow/destination calls to action","Destination calls to action visible","Destination calls were not activated; no research object was saved","Catalyst to destination research surface","PRESENTED_AS_PERSISTENT_RECORD; UNPROVEN_NO_SAVE_OR_RETURN","PUBLIC_LANDING; DESTINATION_ACCESS_NOT_TESTED"
"P-OPTIONS-001","direct-product-state","/options","Event-to-asset-to-structure interpretation page presents regime/vol/flow/gamma and scenario/Greeks structure evaluation","MO-PAID-012 through MO-PAID-015 and MO-PAID-076 through MO-PAID-077","CONFIRMED_FUNCTIONAL_DEPTH","F03","OBSERVED_PUBLIC","No live chain or trade action used","Capability sections/workflow scenarios/subscription calls to action","Subscription call to action visible","No subscription or trade action used","Event to assets to options structure evaluation","NOT_APPLICABLE_NO_USER_STATE_TESTED","PUBLIC_DESCRIPTION; FULL_ANALYSIS_REQUIRES_ACCESS"
"P-OPTIONS-002","direct-product-state","/options-intelligence/catalyst-to-options","Public workflow description presents catalyst to exposed assets to structures to thesis to alert","MO-DELTA-033 and MO-PAID-070","PERSISTENT_WORKFLOW_COMPOSITION_GAP","F03+F08+F11","OBSERVED_PUBLIC","No thesis was created","Linear stepper/module cards/start-workflow call to action","Start-catalyst and workflow calls to action visible","No selection/save/alert action was taken","Catalyst to exposure to structure to thesis to monitor","UNPROVEN_NO_STATE_CREATED_OR_RELOADED","PUBLIC_DESCRIPTION; POST_SIGNUP_WORKFLOW_PRESENTED"
"P-OPTIONS-003","indexed-link-follow","/options-intel/nvda","Ticker options page presents chain/OI concentration/dealer positioning/vol surface/notable flow/current-read synthesis","MO-PAID-012 through MO-PAID-015 and MO-PAID-071 through MO-PAID-077","TICKER_COMPOSITION_GAP","F03","OBSERVED_PUBLIC","No options analytics session or trade action used","Ticker summary/component sections/related-ticker links/access call to action","Analyze ticker options in real time call to action visible","No live analysis was opened","Ticker options inputs to synthesized current read","UNPROVEN_NO_LIVE_REFRESH_OR_USER_STATE_OBSERVED","PUBLIC_DESCRIPTION; FULL_ANALYSIS_REQUIRES_ACCESS"
"P-CAPITAL-001","direct-product-state","/capital-markets","Capital-markets page presents issuer qualification/financing route constraints/transaction effects/offered saved issuer monitoring","MO-PAID-059 through MO-PAID-069","ISSUER_STATE_CYCLE_GAP","F09","OBSERVED_PUBLIC","No issuer or transaction accessed","Issuer pipeline/market-window/transaction-impact/issuer-monitor panels","Pipeline/compare/impact/monitor calls to action visible","No issuer selection save or return action was taken","Issuer qualification to financing path to transaction effect to offered monitor","UNPROVEN_NO_STATE_CREATED_OR_RETURN_OBSERVED","PUBLIC_DESCRIPTION; WORKSPACE_REQUIRES_ACCESS"
