delta_id,observed_capability_or_depth,evidence_url,baseline_relation,fanout_lane,canonical_owner_route,classification_hypothesis,authority_ceiling_before_promotion,status
MO-DELTA-001,Market Feed — stock-impacting events with ticker impact/direction,https://marketontology.com/stock-research,"depth/new label over event-to-asset + security change feed",F05-EVENT-IMPACT,"canonical event owners + Market OS",ALIAS_OR_PROJECTION,context_only,PENDING_F00_RECONCILIATION
MO-DELTA-002,Research Screener — filter universe by theme/catalyst/exposure/valuation posture,https://marketontology.com/stock-research,"not explicit as standalone paid row",F06-SECURITY-RESEARCH,"Market OS + canonical screening/theme/valuation owners",POTENTIALLY_NEW_PRODUCT_WORKFLOW,research_priority_only,PENDING_F00_RECONCILIATION
MO-DELTA-003,Portfolio Constructor — research portfolio roles/weights/rebalance triggers,https://marketontology.com/stock-research,"adjacent to full portfolio management but distinct research-construction job",F08-PORTFOLIO-ALERTS,"Portfolio Superintelligence + Market OS",POTENTIALLY_NEW_PRODUCT_WORKFLOW,human_research_only,PENDING_F00_RECONCILIATION
MO-DELTA-004,Theme Map — supply/demand/policy shocks mapped to public-company exposure,https://marketontology.com/stock-research,"likely projection over theme/transmission owners",F04-ONTOLOGY-TRANSMISSION,"GMI Theme Graph + TXI + Market OS",ALIAS_OR_PROJECTION,research_display_only,PENDING_F00_RECONCILIATION
MO-DELTA-005,Decision Zones — downstream action/research surface from macro catalyst,https://marketontology.com/macro-research-platform,"not explicit in authenticated paid-row labels",F04-ONTOLOGY-TRANSMISSION,"Market OS + existing decision/dislocation/price-zone owners after archaeology",UNRESOLVED_NEW_OR_ALIAS,research_only,PENDING_F00_RECONCILIATION
MO-DELTA-006,Opportunity Map — ranked live catalysts by impact/direction/timeframe/confidence/dislocation/priced %,https://marketontology.com/research-terminal,"adjacent to Opportunity Radar / today's implications",F04-ONTOLOGY-TRANSMISSION,"Alpha K5 + Dislocation + Market OS",ALIAS_OR_PROJECTION,research_priority_only,PENDING_F00_RECONCILIATION
MO-DELTA-007,Institutional memory — every analysis/claim/prediction logged and scored for team accuracy,https://marketontology.com/research,"not explicit in 88-row paid baseline",F13-OPS-LEARNING,"Evaluation OS + canonical Trial/forward ledgers + Market OS",POTENTIALLY_NEW_PRODUCT_WORKFLOW,learning_only,PENDING_F00_RECONCILIATION
MO-DELTA-008,Credit as explicit cross-asset monitoring surface,https://marketontology.com/research-terminal,"baseline lists cross-asset/rates but not standalone credit row",F01-MACRO-MARKETS,"existing credit/market-data owners + GMI/TXI + Market OS",DEPTH_EXPANSION_OF_BASELINE,context_only,PENDING_F00_RECONCILIATION
MO-DELTA-009,ETF as explicit event/exposure asset class,https://marketontology.com/research-terminal,"baseline event-to-asset broad family",F04-ONTOLOGY-TRANSMISSION,"canonical ETF/instrument identity + GMI/TXI + Market OS",DEPTH_EXPANSION_OF_BASELINE,context_only,PENDING_F00_RECONCILIATION
MO-DELTA-010,Reference Indicators Library,https://marketontology.com/research,"not explicit paid-row feature",F01-MACRO-MARKETS,"canonical macro/market-data owners + Market OS reference projection",POTENTIALLY_NEW_PRODUCT_WORKFLOW,reference_only,PENDING_F00_RECONCILIATION
MO-DELTA-011,Reference Glossary / 200+ macro-market terms,https://marketontology.com/learn,"not explicit paid-row feature",F13-OPS-LEARNING,"Market OS methodology/help layer over canonical vocabularies",POTENTIALLY_NEW_PRODUCT_WORKFLOW,reference_only,PENDING_F00_RECONCILIATION
MO-DELTA-012,Yield Curve Dashboard,https://marketontology.com/research,"not explicit paid-row feature; rates family depth",F01-MACRO-MARKETS,"canonical rates owner + Market OS",DEPTH_EXPANSION_OF_BASELINE,context_only,PENDING_F00_RECONCILIATION
MO-DELTA-013,Credit Spread Dashboard,https://marketontology.com/research,"not explicit paid-row feature; credit family depth",F01-MACRO-MARKETS,"canonical credit owner + Market OS",POTENTIALLY_NEW_PRODUCT_WORKFLOW,context_only,PENDING_F00_RECONCILIATION
MO-DELTA-014,Portfolio risk metric suite — beta/alpha/volatility/variance/Sharpe/Sortino/Treynor/Jensen/max drawdown/downside deviation/tracking error/information ratio/VaR/CVaR/stress/correlation/covariance/concentration/liquidity/duration/convexity/Fama-French,https://marketontology.com/team-fund-research-workspace,"depth expansion of Full Portfolio Management / risk",F08-PORTFOLIO-ALERTS,"Portfolio Superintelligence + canonical factor/risk owners",DEPTH_EXPANSION_OF_BASELINE,decision_support_only,PENDING_F00_RECONCILIATION
MO-DELTA-015,Econometric model families — local projections/event studies/panel FE/DiD/synthetic control/IV/factor/cointegration-ECM/hazard/DCC-GARCH/double-debiased ML/causal forests,https://marketontology.com/team-fund-research-workspace,"depth expansion of Econometric Workbench",F10-QUANT-ANALOGS,"Evaluation OS + ResearchStudy + canonical model owners",DEPTH_EXPANSION_OF_BASELINE,research_only,PENDING_F00_RECONCILIATION
MO-DELTA-016,Econometric outputs — coefficient table/IRF/SE/p-values/R2 diagnostics/validity threats/bias direction/asset-portfolio-valuation implications/exportable appendix,https://marketontology.com/team-fund-research-workspace,"depth expansion of Econometric Workbench",F10-QUANT-ANALOGS,"Evaluation OS + ResearchStudy + Market OS projection",DEPTH_EXPANSION_OF_BASELINE,research_only,PENDING_F00_RECONCILIATION
MO-DELTA-017,Full company workspace financial statements + consensus valuation + adjusted valuation + assumption trail,https://marketontology.com/team-fund-research-workspace,"depth expansion of equity valuation / Valuation Finder",F07-VALUATION-SCENARIO,"FIF + company facts + Market OS",DEPTH_EXPANSION_OF_BASELINE,research_display_only,PENDING_F00_RECONCILIATION
MO-DELTA-018,Capital-markets Capital Need Monitor semantics — maturity walls/cash burn/funding gaps,https://marketontology.com/capital-markets,"depth expansion of baseline Capital Need Monitor",F09-CAPITAL-MATERIALS,"capital-markets + company financial owners",DEPTH_EXPANSION_OF_BASELINE,context_only,PENDING_F00_RECONCILIATION
MO-DELTA-019,Capital-markets Market Windows — IPO/follow-on/HY/IG windows with gating conditions,https://marketontology.com/capital-markets,"depth expansion of baseline Market Windows",F09-CAPITAL-MATERIALS,"capital-markets + market/rates/credit owners",DEPTH_EXPANSION_OF_BASELINE,research_only,PENDING_F00_RECONCILIATION
MO-DELTA-020,Transaction Tape depth — IPO/follow-ons/blocks/converts/IG-HY/M&A terms and bookrunners,https://marketontology.com/capital-markets,"depth expansion of baseline Transaction Tape",F09-CAPITAL-MATERIALS,"capital-markets source owner + Market OS",DEPTH_EXPANSION_OF_BASELINE,context_only,PENDING_F00_RECONCILIATION
MO-DELTA-021,Issuer Workspace depth — capital structure/covenant headroom/recent filings/likely next action,https://marketontology.com/capital-markets,"depth expansion of baseline Issuer Workspace",F09-CAPITAL-MATERIALS,"capital-markets + company facts + evidence owners",DEPTH_EXPANSION_OF_BASELINE,human_research_only,PENDING_F00_RECONCILIATION
MO-DELTA-022,Valuation Bridge depth — cap table/ownership/leverage/pro-forma multiple effects,https://marketontology.com/capital-markets,"depth expansion of baseline Valuation Bridge",F09-CAPITAL-MATERIALS,"capital-markets + FIF + institutional ownership",DEPTH_EXPANSION_OF_BASELINE,research_display_only,PENDING_F00_RECONCILIATION
MO-DELTA-023,M&A Workbench depth — strategic logic/premium math/financing path/antitrust/break-fee exposure,https://marketontology.com/capital-markets,"depth expansion of baseline M&A Workbench",F09-CAPITAL-MATERIALS,"capital-markets + special-situations + policy + FIF",DEPTH_EXPANSION_OF_BASELINE,research_only,PENDING_F00_RECONCILIATION
MO-DELTA-024,ECM Workbench depth — pricing precedents/deal size vs float/lockups/greenshoe/aftermarket reads,https://marketontology.com/capital-markets,"depth expansion of baseline ECM Workbench",F09-CAPITAL-MATERIALS,"capital-markets + market-data + company facts",DEPTH_EXPANSION_OF_BASELINE,research_only,PENDING_F00_RECONCILIATION
MO-DELTA-025,DCM & Credit Workbench depth — coupon/spread/tenor/covenants/use of proceeds vs peers,https://marketontology.com/capital-markets,"depth expansion of baseline DCM & Credit Workbench",F09-CAPITAL-MATERIALS,"capital-markets + credit/rates + company facts",DEPTH_EXPANSION_OF_BASELINE,research_only,PENDING_F00_RECONCILIATION
MO-DELTA-026,Capital-markets Source Library depth — filings/prospectuses/term sheets/rating actions,https://marketontology.com/capital-markets,"depth expansion of baseline Source Library",F09-CAPITAL-MATERIALS,"K1 Evidence Foundation + canonical filing/rating/source owners",DEPTH_EXPANSION_OF_BASELINE,evidence_navigation_only,PENDING_F00_RECONCILIATION
MO-DELTA-027,Material Flow Map — six layers raw input→chokepoint→refining→fabrication→distribution→end market,https://marketontology.com/tools/material-flow-map,"depth expansion of materials supply-chain decomposition",F09-CAPITAL-MATERIALS,"materials/TXI/GMI + exact source owners",DEPTH_EXPANSION_OF_BASELINE,context_only,PENDING_F00_RECONCILIATION
MO-DELTA-028,Material chokepoint monitoring — maritime/refining/semiconductor concentration,https://marketontology.com/tools/material-flow-map,"depth expansion of materials/geospatial families",F09-CAPITAL-MATERIALS,"materials + trade/logistics/geopolitics owners",DEPTH_EXPANSION_OF_BASELINE,context_only,PENDING_RIGHTS_SOURCE_RECONCILIATION
MO-DELTA-029,Material coverage families — energy/metals/agriculture/semiconductors/industrial inputs,https://marketontology.com/tools/material-flow-map,"depth expansion of materials family",F09-CAPITAL-MATERIALS,"sector/material canonical owners",DEPTH_EXPANSION_OF_BASELINE,context_only,PENDING_F00_RECONCILIATION
MO-DELTA-030,Physical-vs-financial material arbitrage signals,https://marketontology.com/tools/material-flow-map,"depth expansion of materials arbitrage engine",F09-CAPITAL-MATERIALS,"materials + Dislocation + Evaluation OS",DEPTH_EXPANSION_OF_BASELINE,research_only,PENDING_PROSPECTIVE_VALIDATION
MO-DELTA-031,Geopolitical map depth — 3D live event layer + affected-asset chips + chokepoint traffic anomalies + sanctions overlay,https://marketontology.com/tools/geopolitical-risk-map,"depth expansion of live geopolitical map",F02-POLICY-GEO,"geopolitics + trade/logistics + sanctions + Market OS",DEPTH_EXPANSION_OF_BASELINE,context_only,PENDING_RIGHTS_SOURCE_RECONCILIATION
MO-DELTA-032,Policy implementation-state tracking — scope/timing/jurisdictions/exemptions/enforcement/retaliation/litigation/reversal/delay,https://marketontology.com/policy-risk-for-markets,"depth expansion of policy & legislation tracker",F02-POLICY-GEO,"policy/government/legal-event owners + Market OS",DEPTH_EXPANSION_OF_BASELINE,context_only,PENDING_F00_RECONCILIATION
MO-DELTA-033,Options catalyst workflow modules — Catalyst Picker→Exposure Map→Structure Explorer→Related Catalysts→Thesis Builder→Alert Setup,https://marketontology.com/options-intelligence/catalyst-to-options,"depth expansion of catalyst-to-options workflow",F03-OPTIONS-EXPRESSION,"event/K5 + options owner + Market OS thesis/monitor owners",DEPTH_EXPANSION_OF_BASELINE,research_expression_only,PENDING_F00_RECONCILIATION
MO-DELTA-034,Options Structure Builder strategies — long call/vertical/iron condor/calendar/collar with P&L surface/scenario matrix/Greeks drift,https://marketontology.com/options,"depth expansion of Structure Builder + Greeks/P&L/scenario",F03-OPTIONS-EXPRESSION,"canonical options owner + ExpressionCandidate projection",DEPTH_EXPANSION_OF_BASELINE,research_expression_only,PENDING_F00_RECONCILIATION
MO-DELTA-035,Options real-time catalyst feed linked to tickers and expiries,https://marketontology.com/options,"not explicit as separate baseline row",F03-OPTIONS-EXPRESSION,"canonical event owners + options owner",POTENTIALLY_NEW_PRODUCT_WORKFLOW,context_only,PENDING_F00_RECONCILIATION
MO-DELTA-036,Market Impact API stable IDs + Idempotency-Key conflict detection,https://marketontology.com/api,"depth expansion of programmatic API",F12-TEAM-API-PLATFORM,"internal accepted contracts + canonical idempotency/access owners",DEPTH_EXPANSION_OF_BASELINE,projection_only,PENDING_F00_RECONCILIATION
MO-DELTA-037,API evidence/inference field separation + inference_metadata + schema_version,https://marketontology.com/api,"depth expansion of API contract",F12-TEAM-API-PLATFORM,"K1/K3/K5 accepted contracts + delivery projection",DEPTH_EXPANSION_OF_BASELINE,projection_only,PENDING_F00_RECONCILIATION
MO-DELTA-038,Signed webhooks with signature verification/retry exponential backoff/dedupe on event ID,https://marketontology.com/api,"depth expansion of webhook delivery",F12-TEAM-API-PLATFORM,"canonical event/job transport owners + delivery projection",DEPTH_EXPANSION_OF_BASELINE,transport_only,PENDING_F00_RECONCILIATION
MO-DELTA-039,API endpoints — generic impact analyze / portfolio impact / scenario comparison,https://marketontology.com/api,"depth expansion of API surface",F12-TEAM-API-PLATFORM,"projections over K5/Portfolio/Scenario accepted internal contracts",DEPTH_EXPANSION_OF_BASELINE,projection_only,PENDING_F00_RECONCILIATION
MO-DELTA-040,Enterprise deployment planner — internal team/private workflow/product integration route selection,https://marketontology.com/enterprise,"not explicit baseline product capability",F13-OPS-LEARNING,"commercial/product-ops layer; no intelligence truth ownership",POTENTIALLY_NEW_COMMERCIAL_WORKFLOW,operations_only,PENDING_F00_RECONCILIATION
MO-DELTA-041,Shared team repeatable catalyst workflows and common overnight/watch-next state,https://marketontology.com/investment-team-market-intelligence,"depth expansion of team workspace/shared research",F12-TEAM-API-PLATFORM,"Market OS workspace over canonical shared objects",DEPTH_EXPANSION_OF_BASELINE,collaboration_only,PENDING_F00_RECONCILIATION
MO-DELTA-042,Event-to-portfolio path with time-stamped machine-readable event + direction/mechanism/timeframe/invalidation,https://marketontology.com/map-the-world,"depth expansion of event-to-portfolio mapping",F08-PORTFOLIO-ALERTS,"canonical event/K3/K5 + Portfolio owner",DEPTH_EXPANSION_OF_BASELINE,context_only,PENDING_F00_RECONCILIATION
