ledger_id,field_or_source,clock,rights_disposition_ref_freeze_s8,used_in_this_packet,coverage_window_achieved,missingness_state,why,prospectively_observable,note
S001,SEC EDGAR submissions + companyfacts XBRL,accounting_translation,GO (10 req/s; declared UA),yes,2005-11-21..2026-08-06 (41 periodic filings since 2018),present,Public first-party filings with exact filing dates,yes,"The available_at backbone of the whole packet. Reproduce: https://data.sec.gov/submissions/CIK0001341766.json and /api/xbrl/companyfacts/CIK0001341766.json"
S002,CELH investor releases (8-K EX-99.1),operating + accounting_translation,GO (CELH_IR),yes,2021-08-12..2026-08-06 under Item 2.02; earlier releases under Item 8.01,present,Public first-party,yes,"22 Item-2.02 releases since 2021-08-12. Before that CELH filed results under Item 8.01 — a form-type discontinuity, not an absence."
S003,Canonical price tape (data/yahoo/CELH.parquet),market_recognition,REUSE (CANONICAL_PRICE_TAPE),yes,2007-01-22..2026-08-12 (4921 daily bars),present,In-repo canonical store,yes,"Single price plane; no splice. yfinance exposure documented in-repo per freeze §8."
S004,Quarterly Q4 revenue as a tagged XBRL fact,accounting_translation,GO,derived,every FY 2016..2025,not_applicable,"CELH does not tag a standalone Q4 duration fact; Q4 must be derived as FY minus Q1..Q3",yes,"Derived rows are evidence_class=derived_deterministic and their available_at is the FY filing date, NOT the Q4 press-release date. The Q4 press release does state the figure directly (earlier available_at) — prefer that when present."
S005,Accrued promotional allowance,accounting_translation,GO,yes,2023-12-31..2026-06-30 (11 quarter-ends),present,Present in filed balance sheets,yes,"NOT exposed in the SEC XBRL companyfacts API — no CELH custom namespace is published (namespaces observed: dei, us-gaap, srt, ecd). Machine capture requires statement-level parsing of the release/10-Q. This is the single most under-instrumented translation field in the packet."
S006,Selling and marketing expense as a separate line,accounting_translation,GO,partial,2022-01-01..2022-09-30 only,not_available_for_date,"us-gaap:SellingAndMarketingExpense is tagged for three quarters only; thereafter costs sit in SellingGeneralAndAdministrativeExpense",yes,"CONCEPT-CONTINUITY BREAK. The $198.8M Q3-2022 termination charge is visible as a separate line; the equivalent 2024-2026 trade spend is not. Do not build a same-name time series across this boundary."
S007,Circana retail scan aggregates (issuer-disclosed),operating,GO_LIMITED (CIRCANA_ISSUER_DISCLOSED — issuer-claim citation lane only),yes,2023-10-08..2026-06-28 as cited by the issuer,present,Cited only as issuer_claim_numeric with the exact footnote reproduced,partial,"Only what the issuer chooses to quote, in the window the issuer chooses. Three different denominators appear across the window (see S008)."
S008,"Circana denominator definition (comparability)",operating,GO_LIMITED,yes,not_applicable,superseded_by_recompute,"THREE denominators in one window: (a) 2023 — 'Total US MULO+C, top brand sales in the Celsius Custom Energy Segment' (issuer-defined custom segment, 4/12/13/24/26-week windows); (b) H1 2024 — 'Total US MULOC, RTD Energy'; (c) from Q3 2024 — 'Total US MULO+ w/C, RTD Energy'",partial,"A sell-through series spanning 2023->2026 is a THREE-DEFINITION splice. Any wedge computed across a denominator change is not a measurement. This is the hardest comparability break in the packet."
S009,Circana direct subscription,operating,"HOLD (CIRCANA_DIRECT — enterprise contract, confidentiality-bound)",no,none,rights_blocked,Freeze §8 disposition; not purchased and not requested,no,"Would resolve S007/S008 by giving one consistent denominator. Until then the sell-through leg is issuer-curated by construction."
S010,Distributor/channel inventory in units or weeks-of-supply,operating,not_applicable (never disclosed),no,none,not_reconstructable,"CELH discloses channel-inventory effects only as directional narrative plus occasional dollar impacts ($20M in Q1 2024, -$123.9M distributor revenue in Q3 2024). No level, no unit, no weeks-of-supply, in any filing in the window.",no,"THE CENTRAL MISSING FIELD. The mechanism that drove the largest wave in the window is observable only through its P&L shadow, and only when the issuer elects to quantify it."
