source_id,source_family,market,field_or_artifact,source_owner,source_url_or_repo_path,event_time,measurement_end,available_at,observed_at_mastermind,produced_at_mastermind,effective_session,settled_at,revision_basis,rights_basis,historical_coverage_start,intraday_available,quality_state,notes
leadership_crack.v1,organ_intelligence,US,state/z_vel/med_dd/carnage/dislocation,macro,engine/leadership_crack.py + data/leadership_crack/forward_log.jsonl,session_close,session_close,unknown_before_forward_log_row,forward_log.asof,forward_log.asof,US_session(asof),asof_close,recomputed_if_code_changes,internal_derived,2026-07-17,false,EMISSION_LOG_SHORT,Display-only. Log starts 2026-07-17 already BROKEN. Missing nights 2026-08-01..04,06,08-11,14-16. latest.json asof 2026-08-18 is not proof of intra-day emission.
market_state.v1,organ_intelligence,US,verdict/score/radar,macro,engine/market_state.py + data/market_state/forward_log.jsonl,session_close,session_close,unknown_before_forward_log_row,forward_log.asof,forward_log.asof,US_session(asof),asof_close,recomputed_if_code_changes,internal_derived,2026-06-26,false,USABLE_EOD,Authority advisory. RISK_ON on 2026-08-12..18 while leadership_crack BROKEN.
risk_radar.us,organ_intelligence,US,state/alert/dominant_scare,macro,engine/risk_radar.py + data/risk_radar/forward_log.jsonl,session_close,session_close,unknown_before_forward_log_row,forward_log.asof,forward_log.asof,US_session(asof),asof_close,recomputed_if_code_changes,internal_derived,2026-06-23,false,USABLE_EOD,alert always false in Jul-Aug 2026 window. De-escalated caution->watch->calm 2026-08-13..18. authority_tier advisory can_force false.
risk_radar.kr,organ_intelligence,KR,state/alert,macro,data/risk_radar_intl/kr_forward_log.jsonl,session_close,session_close,unknown_before_forward_log_row,forward_log.asof,forward_log.asof,KR_session(asof),asof_close,recomputed_if_code_changes,internal_derived,unknown,false,MISSED_OR_CALM,Printed calm on 2026-08-19 while KOSPI close-to-close was about -4.75 percent. Not an anticipatory clock.
risk_radar.cn,organ_intelligence,CN,state/alert,macro,data/risk_radar_intl/cn_forward_log.jsonl,session_close,session_close,unknown_before_forward_log_row,forward_log.asof,forward_log.asof,CN_session(asof),asof_close,recomputed_if_code_changes,internal_derived,unknown,false,STALE,Last row in file 2026-07-16 risk-off. No August 2026 emission found.
rates_command,organ_intelligence,US,stance/board,macro,data/rates_command/latest.json,session_close,session_close,latest_only,2026-08-18,built_in_file,US_session(2026-08-18),2026-08-18,latest_snapshot,internal_derived,unknown,false,LATEST_ONLY,display_only true; authority false. No dated forward emission used in this replay.
anticipation,organ_intelligence,US,unknown,macro,engine/anticipation.py,unknown,unknown,MISSING,MISSING,MISSING,MISSING,MISSING,unknown,internal_derived,unknown,false,MISSING,No data/anticipation artifact in this checkout.
velocity,organ_intelligence,US,unknown,macro,engine/velocity.py,unknown,unknown,MISSING,MISSING,MISSING,MISSING,MISSING,unknown,internal_derived,unknown,false,MISSING,No data/velocity artifact in this checkout.
yahoo.ohlcv.US,bars,US,SPY/QQQ/SMH/SOXX/IWM/RSP/XLK/XLU/XLP/XLV/TLT/EWY/EWT/EWJ/FXI,yahoo,data/yahoo/<TICKER>.parquet,session_close,session_close,vendor_publish_after_close,ingested_unknown,n/a,US_session,session_close,adjusted_bar_store,yahoo_vendor,ticker_dependent,false,BARS_EOD,No ingested_at column. Intraday MAE UNAVAILABLE. EWY is a US-hours Korea proxy and is not the KOSPI cash clock.
yahoo.ohlcv.KS11,bars,KR,KOSPI,yahoo,data/yahoo/_KS11.parquet,KR_session_close,KR_session_close,vendor_publish_after_close,ingested_unknown,n/a,KR_session,KR_close,adjusted_bar_store,yahoo_vendor,unknown,false,BARS_EOD_PARTIAL,2026-08-19 volume 157932 vs ~300k prior days — treat as possibly incomplete. 2026-08-18 -1.55 percent; 2026-08-19 -4.75 percent.
yahoo.ohlcv.000660,bars,KR,SK_Hynix_issuer,yahoo,data/yahoo/000660.KS.parquet,KR_session_close,KR_session_close,MISSING,MISSING,MISSING,MISSING,MISSING,unknown,yahoo_vendor,MISSING,false,MISSING,Issuer tape not in this checkout. Repair analysis cannot be issuer-primary from prices.
fred.DGS10,revisable_release,US,us10y,FRED,data/fred/DGS10.parquet,reference_date,reference_date,UNKNOWN_RELEASE,ingested_unknown,n/a,US_session,reference_date,LATEST_REVISED,fred_public,long_history,false,REVISION_LEAK_RISK,Daily nominal yields; used descriptively. Scored historical frames must not treat this as ALFRED first-available. Vintage store not joined in this replay.
fred.DGS30,revisable_release,US,us30y,FRED,data/fred/DGS30.parquet,reference_date,reference_date,UNKNOWN_RELEASE,ingested_unknown,n/a,US_session,reference_date,LATEST_REVISED,fred_public,long_history,false,REVISION_LEAK_RISK,Same caveat as DGS10. +10bp 2026-08-13 5.21 to 2026-08-17 5.31.
fred.VIXCLS,bars_like,US,vix_close,FRED,data/fred/VIXCLS.parquet,session_close,session_close,UNKNOWN_RELEASE,ingested_unknown,n/a,US_session,session_close,LATEST_REVISED,fred_public,long_history,false,LEVEL_ONLY,VIX 14.25..15.46 in 2026-08-06..17. Not historically extreme. Absolute VIX thresholds remain DNR:KILL-ABSOLUTE-VIX-THRESHOLDS. MOVE/VVIX/VIX9D stores absent.
treasury_direct.auctions,event,US,auction_date/high_yield/bid_to_cover/indirect/dealer,TreasuryDirect,data/treasury_auctions/auctions.parquet,auction_day,~13:00_ET_result,result_publish_approx_13:00_ET,ingested_unknown,n/a,US_session(auction_date),auction_day_close,official_result,public_treasury_direct,2016-ish,false,RESULTS_ONLY_NO_WI,2026-08-11 3y BTC 2.71 hy 4.291; 2026-08-12 10y BTC 2.53 hy 4.683; 2026-08-13 30y BTC 2.39 hy 5.216. True when-issued tail UNAVAILABLE.
auction_tail_wi,event,US,stop_out_minus_when_issued,unknown,MISSING,MISSING,MISSING,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,n/a,paid_WI_or_none,MISSING,true_if_WI,UNAVAILABLE,engine/treasury_supply.py documents WI tail omitted. Do not rename a daily yield difference as tail. GD-H3 tail leg BLOCKED.
pboc.omo.bulletin,event,CN,announce_date/op_date/kind/tenor/amount_bn,PBOC,data/china_omo/operations.parquet + collectors/china_omo,announce_date/op_date,bulletin,first_seen,first_seen,fetched_at,CN_session(op_date),op_date,first_seen_keep,public_pbc.gov.cn,2026-07-24_in_this_file,false,USABLE_FIRST_SEEN,Zero 7-day reverse repo 2026-08-11..14 and 2026-08-17..18. Outright 3m 5000bn tender announced 2026-08-04; 6m 10000bn announced 2026-08-13. first_seen present.
pboc.repo_rates,bars,CN,FR001/FR007/FR014,macro,data/china_pboc/repo_rates.parquet,session,session,unknown,ingested_unknown,n/a,CN_session,session,unknown,public_or_vendor,unknown,false,FUNDING_SOFT,FR007 1.41..1.43 through 2026-08-18 versus 7-day operation rate 1.4. Soft funding with zero 7-day is not tightening.
sk_hynix.bod_buyback,event,KR,treasury_share_acquire_and_cancel,SK_Hynix,NOT_IN_REPO; secondary https://www.businesskorea.co.kr/news/articleView.html?idxno=275082,2026-08-19_BOD,unknown,SECONDARY_2026-08-19T16:59+09,NOT_INGESTED,n/a,KR_session_2026-08-19,unsettled,secondary_press,public_company_disclosure_not_captured,2026-08-19,false,CLOCK_PARTIAL,Board 2026-08-19 resolved 40tn KRW acquire-and-cancel starting 2026-08-20. Official DART/KIND filing not in checkout. Not used as a quantitative dataset. Repair impulse only.
prophet.us.candidates,intelligence,US,raw_population_lane_gate,macro,data/us_prophet_rank/candidates/2026-08.parquet,board_session,board_session,served_at_unknown,stamp_date,stamp_date,US_session(stamp_date),stamp_date,board_definition_stamped,internal_derived,2026-08-05,false,EOD_BOARD_ONLY,Dates 2026-08-05 06 07 12 14 17 18. Missing 2026-08-03 04 10 11 13 15. board_definition us_prophet_v2 on 08-12; us_prophet_v3 on 08-17/18. No intraday quotes.
prophet.cn.candidates,intelligence,CN,raw_population_lane_gate,macro,data/china_prophet_rank/candidates.parquet,board_session,board_session,served_at_unknown,stamp_date,stamp_date,CN_session(stamp_date),stamp_date,board_definition_stamped,internal_derived,2026-07-30,false,EOD_BOARD_ONLY,2026-08-18 present; 2026-08-17 absent. No session-return column. Intraday board quotes not retained. cn_prophet_live/forward.parquet empty.
portfolio.derisk_shadow,intelligence,US,macro_risk/market_view/posture_decider/derisk,mastermind,Mastermind/portfolio (filenames not matching derisk/macro_risk in a walk),unknown,unknown,MISSING,MISSING,MISSING,MISSING,MISSING,unknown,internal_read_only,unknown,false,NOT_LOCATED,Read-only search of Mastermind/portfolio found no derisk/macro_risk/market_view/posture files by name. Shadow not replayed.
