source_id,source_class,locator,accessed_or_observed,claim_supported,limits
MO-PUB-01,competitor_first_party,https://marketontology.com/map/investment-research-platform,2026-09-26,"Investment-research workflow/product shape","Public product/marketing evidence only"
MO-PUB-02,competitor_first_party,https://marketontology.com/research,2026-09-26,"Research workflow presentation","Public page only"
MO-PUB-03,competitor_first_party,https://marketontology.com/macro-research-platform,2026-09-26,"Macro workflow presentation","Public page only"
MO-PUB-04,competitor_first_party,https://marketontology.com/market-impact,2026-09-26,"Event/market-impact workflow","Impact accuracy not independently validated"
MO-PUB-05,competitor_first_party,https://marketontology.com/single-platform,2026-09-26,"Cross-product continuity claim","Vendor claim/product presentation"
MO-PUB-06,competitor_first_party,https://marketontology.com/research-terminal,2026-09-26,"Research-terminal downstream workflow","No authenticated save/return tested"
MO-PUB-07,competitor_first_party,https://marketontology.com/workspace,2026-09-26,"Workspace/saved research presentation","Public presentation only"
MO-PUB-08,competitor_first_party,https://marketontology.com/workspace/valuation-models,2026-09-26,"Valuation workspace presentation","No hidden formulas inferred"
MM-PROC-01,mastermind_procedure,Mastermind@f3bd2ca266fb3752ea1cd561758a5189b28aae2d:docs/sol_skills/INDEX.md,2026-09-26,"Protected procedure pin","Procedure authority only"
MM-R1-01,mastermind_source,macro@810cdf78428f79b6e60850d2787fafc429ba54e0:scripts/build_portfolio_ctx.py,2026-09-26,"portfolio_ctx.v2 carries per-ticker armed chain membership","Display-tier nightly context"
MM-R1-02,mastermind_source,macro@810cdf78428f79b6e60850d2787fafc429ba54e0:templates/watchlist_risk.js,2026-09-26,"Portfolio risk renders transmission exposure","Not retained-change history"
MM-R1-03,mastermind_source,macro@810cdf78428f79b6e60850d2787fafc429ba54e0:engine/portfolio_changes.py,2026-09-26,"portfolio_state_digest.v1 omits chain membership","Privacy boundary binding"
MM-R1-04,mastermind_source,macro@810cdf78428f79b6e60850d2787fafc429ba54e0:app/main.py,2026-09-26,"Authenticated portfolio brief/change owners","Consumer must be re-censused before build"
MM-R1-05,mastermind_source,macro@810cdf78428f79b6e60850d2787fafc429ba54e0:engine/valuation_assumptions.py,2026-09-26,"Valuation scenario/control owner exists","Research-display authority"
MM-R1-06,mastermind_source,macro@810cdf78428f79b6e60850d2787fafc429ba54e0:engine/valuation_event_proposal.py,2026-09-26,"Typed event-assumption proposal/abstention exists","No Terminal consumer observed"
MM-R1-07,mastermind_source,macro@810cdf78428f79b6e60850d2787fafc429ba54e0:research/F07_EVENT_ASSUMPTION_PROPOSAL_CONTRACT_V1.md,2026-09-26,"F07 rights/abstention/evidence boundary","Contract not user-state store"
MM-R1-08,mastermind_source,mastermind-terminal@61d55a7e1d12a9104f90d17bfa2cd8b16982ac6f:supabase/migrations/0012_thesis_objects.sql,2026-09-26,"Immutable Thesis versions/closed content schema","No arbitrary valuation fields"
MM-R1-09,mastermind_source,mastermind-terminal@61d55a7e1d12a9104f90d17bfa2cd8b16982ac6f:supabase/migrations/0025_thesis_amendment_proposals.sql,2026-09-26,"Propose-only amendment rows","Acceptance does not publish Thesis"
MM-R1-10,mastermind_source,mastermind-terminal@61d55a7e1d12a9104f90d17bfa2cd8b16982ac6f:terminal/lib/thesisAmendmentProposals.ts,2026-09-26,"K1 pointer-only evidence and forbidden judgement keys","Current validation surface"
MM-R1-11,mastermind_source,mastermind-terminal@61d55a7e1d12a9104f90d17bfa2cd8b16982ac6f:terminal/app/api/thesis/[thesisId]/proposals/route.ts,2026-09-26,"Existing owner-scoped proposal BFF","No F07 composition observed"
MM-R1-12,mastermind_source,mastermind-terminal@61d55a7e1d12a9104f90d17bfa2cd8b16982ac6f:docs/COMPANY_INTELLIGENCE_WORKSPACE.md,2026-09-26,"Generation-pinned context-only evidence workspace","No investment-action authority"
MM-R1-13,mastermind_scope,macro:MARKET_ONTOLOGY_COMPLETE_PARITY_ADOPTION_LEDGER_2026-08-26.csv,2026-09-26,"MO-PAID-022 admission mapping","Scope list; implementation checked separately"
MM-R1-14,mastermind_scope,macro:MARKET_ONTOLOGY_F00C_GRANULAR_CLOSURE_LEDGER_2026-09-02.csv,2026-09-26,"F11 admitted rows/residual proof states","Cross-checked with source"
MM-R1-15,mastermind_decision,macro:DEC-F11-ASSISTANT-GROUNDS-ON-PRODUCT-ARTIFACTS.md,2026-09-26,"Assistant propose-only Thesis authority boundary","Binding authority decision"
MM-R1-16,mastermind_active_carrier,mastermind-terminal#746@6859bc01a9292848b24ba6b677f23a4cc4fcb9e5,2026-09-26,"What-changed carrier current-base","Hosted CI running; not R1 test evidence"
MM-R1-17,mastermind_active_carrier,macro#7781@30fce96fe4765488d4e828c78f2ef35df70e85d6,2026-09-26,"Transmission template incumbent current-main","Hosted CI running; merge controller owns release"
