family,covering_module,tickers_or_series_covered,data_source_cited_in_code,tier,physical_supply_chain_layer_coverage,evidence_ref
metals,commodity_inputs.py,GC=F; SI=F; PL=F; PA=F (price+COT via load_members),Yahoo store group 'yahoo' (GC=F/SI=F/PL=F/PA=F close+volume); CFTC COT store group 'cot' (net_spec_pct_oi); FRED drivers DFII10/DTWEXBGS/T10YIE/T5YIFR/DGS10/DGS2/WALCL/INDPRO,price,NONE,engine/commodity_inputs.py:8-11;108-124 | config.yml:4222-4225;4252-4261
metals,commodity_signals.py,GC=F; SI=F (native core-four compute_asset); PL=F; PA=F (reused via build_commodities member_results loop),engine/commodity_inputs.py load_price/load_asset outputs (Yahoo+CFTC+FRED; see row above),signal,NONE,engine/commodity_signals.py:1-26 (docstring scopes 'core four') | scripts/build_commodities.py:1247-1250 (compute_asset() reused for all complex_members)
metals,commodity_mtf.py,GC=F; SI=F; PL=F; PA=F (MTF ladder run for all 17 complex_members),engine.cycles equity MTF ladder over commodity_signals close series,signal,NONE,engine/commodity_mtf.py:1-27 | scripts/build_commodities.py:1041-1048 ('MTF ladder for all 17 members')
metals,commodity_index.py,GC=F; SI=F; PL=F; PA=F (complex_members roster) + DBC/GSG benchmark ETFs,config.yml commodities.index.benchmarks + member price series,signal,NONE,engine/commodity_index.py:1-25 | config.yml:4221-4238;4241
metals,commodity_confluence.py,GC=F; SI=F; PL=F; PA=F,existing engine outputs (momentum/structure/COT/cycle) per member,signal,NONE,engine/commodity_confluence.py:1-22 | scripts/build_commodities.py:1283-1290
metals,commodity_cycle_state.py,GC=F (gold cycle); SI=F (silver cycle); PL=F+PA=F (pgms cycle),structural-cycle engine -> data/commodity/cycle_positions.json,signal,NONE,engine/commodity_cycle_state.py:44-51
metals,commodity_conviction.py,GC=F; SI=F covered (core four); PL=F; PA=F: NO-COVERAGE (not in ORDER/DRIVER_INTERP),data/commodity/conviction_calibration.json; FRED ZQ_F/T10Y2Y/VIXCLS/BAMLH0A0HYM2/WALCL/RRPONTSYD/M2SL; Yahoo DX-Y.NYB; CFTC cot_dollar,signal,NONE,engine/commodity_conviction.py:1-80 | scripts/build_commodities.py:60-73 (ORDER=[gold;silver;copper;oil])
metals,commodity_alerts.py,GC=F; SI=F covered (core four); PL=F; PA=F: NO-COVERAGE (LABEL dict has 4 keys only),derived from commodity_signals daily history -> data/commodity/alerts.jsonl,signal,NONE,engine/commodity_alerts.py:35-36
metals,commodity_news.py,GC=F; SI=F covered (core four); PL=F; PA=F: NO-COVERAGE (COMMODITY_QUERY dict has 4 keys only),GDELT DOC 2.0 API (keyless; api.gdeltproject.org); optional Anthropic API classify,context (default OFF),NONE,engine/commodity_news.py:35-41
metals,commodity_strategies.py,GC=F; SI=F covered (core-four gold+silver factor models); PL=F; PA=F: NO-COVERAGE,Yahoo via engine.equity_alloc.index_close + FRED via lib.store,signal (display-only/experimental),NONE,engine/commodity_strategies.py:1-38
metals,commodity_carry_context.py; commodity_supply_context.py; strategic_reserves.py,NO-COVERAGE (all three modules are oil-only),n/a,n/a,NONE,engine/commodity_carry_context.py:1-22 | engine/commodity_supply_context.py:1-25 | engine/strategic_reserves.py:1-24
industrial,commodity_inputs.py,HG=F (price+COT),Yahoo HG=F; CFTC cot_copper; FRED drivers (same set as metals row above),price,NONE,engine/commodity_inputs.py:9 | config.yml:4213;4226
industrial,commodity_signals.py,HG=F,commodity_inputs outputs,signal,NONE,engine/commodity_signals.py:1-26
industrial,commodity_mtf.py,HG=F,engine.cycles equity MTF ladder,signal,NONE,engine/commodity_mtf.py:1-27 | scripts/build_commodities.py:1041-1048
industrial,commodity_index.py,HG=F (complex_members),member price series,signal,NONE,engine/commodity_index.py:1-25 | config.yml:4226
industrial,commodity_confluence.py,HG=F,existing engine outputs,signal,NONE,engine/commodity_confluence.py:1-22
industrial,commodity_cycle_state.py,HG=F (copper cycle),structural-cycle engine,signal,NONE,engine/commodity_cycle_state.py:47
industrial,commodity_conviction.py,HG=F (core four),conviction_calibration.json + macro extras (same set as metals row above),signal,NONE,engine/commodity_conviction.py:1-80 | scripts/build_commodities.py:60-73
industrial,commodity_alerts.py,HG=F (core four),derived from commodity_signals history,signal,NONE,engine/commodity_alerts.py:35-36
industrial,commodity_news.py,HG=F (core four; 'COMEX copper' query),GDELT DOC 2.0 API,context (default OFF),NONE,engine/commodity_news.py:40
industrial,commodity_strategies.py,HG=F ('Dr. Copper' model: copper/gold ratio; China credit impulse; US industrial production; USD),Yahoo+FRED via lib.store,signal (display-only/experimental),NONE,engine/commodity_strategies.py:12-13
industrial,commodity_carry_context.py; commodity_supply_context.py; strategic_reserves.py,NO-COVERAGE (all three modules are oil-only),n/a,n/a,NONE,engine/commodity_carry_context.py:1-22 | engine/commodity_supply_context.py:1-25 | engine/strategic_reserves.py:1-24
energy,commodity_inputs.py,CL=F; NG=F; RB=F; HO=F (price+COT); BZ=F Brent enrichment for oil only,Yahoo CL=F/NG=F/RB=F/HO=F/BZ=F; CFTC cot_oil/cot_natgas/cot_gasoline/cot_heating_oil; FRED drivers,price,NONE,engine/commodity_inputs.py:9;99-105 | config.yml:4214;4227-4230
energy,commodity_signals.py,CL=F; NG=F; RB=F; HO=F,commodity_inputs outputs,signal,NONE,engine/commodity_signals.py:1-26 | scripts/build_commodities.py:1247-1250
energy,commodity_mtf.py,CL=F; NG=F; RB=F; HO=F,engine.cycles equity MTF ladder,signal,NONE,engine/commodity_mtf.py:1-27 | scripts/build_commodities.py:1041-1048
energy,commodity_index.py,CL=F; NG=F; RB=F; HO=F,member price series,signal,NONE,engine/commodity_index.py:1-25 | config.yml:4227-4230
energy,commodity_confluence.py,CL=F; NG=F; RB=F; HO=F,existing engine outputs,signal,NONE,engine/commodity_confluence.py:1-22
energy,commodity_cycle_state.py,CL=F (oil cycle); NG=F (natural-gas cycle) covered; RB=F; HO=F: NO-COVERAGE (docstring names gasoline/heating_oil as absent),structural-cycle engine,signal,NONE,engine/commodity_cycle_state.py:14;48-49
energy,commodity_conviction.py,CL=F covered (core four); NG=F; RB=F; HO=F: NO-COVERAGE,conviction_calibration.json + macro extras,signal,NONE,engine/commodity_conviction.py:1-80 | scripts/build_commodities.py:60-73
energy,commodity_alerts.py,CL=F covered (core four); NG=F; RB=F; HO=F: NO-COVERAGE,derived from commodity_signals history,signal,NONE,engine/commodity_alerts.py:35-36
energy,commodity_news.py,CL=F covered (core four; oil/crude/WTI/Brent/OPEC query); NG=F; RB=F; HO=F: NO-COVERAGE,GDELT DOC 2.0 API,context (default OFF),NONE,engine/commodity_news.py:39
energy,commodity_strategies.py,CL=F covered (USD-led + backwardation + trend model); NG=F; RB=F; HO=F: NO-COVERAGE,Yahoo+FRED via lib.store,signal (display-only/experimental),NONE,engine/commodity_strategies.py:16-17
energy,commodity_carry_context.py,CL=F only (WTI front/second futures basis),cached EIA WTI futures term-structure parquet (data/commodity_carry/eia_wti_termstructure.parquet; EIA hist_xls),context,NONE (term-structure/roll-yield context; not a physical-balance layer),engine/commodity_carry_context.py:1-71
energy,commodity_supply_context.py,CL=F only (US crude/gasoline/distillate stocks),EIA Weekly Petroleum Status Report (WPSR),context,YES -- EIA WPSR petroleum-balance seasonal-anomaly read (crude/gasoline/distillate stocks vs 5y seasonal norm); the one genuine physical supply-chain layer in this inventory,engine/commodity_supply_context.py:1-79
energy,strategic_reserves.py,CL=F only (US SPR + curated national reserve table; JODI total national crude stocks incl. China estimate),EIA weekly US SPR series (data/eia/spr_stocks); JODI monthly total national crude stocks (data/jodi/crude_<iso>); curated config.strategic_reserves reference table,context,NONE (political-reserve levels; not a modeled supply-chain layer per this matrix's definition),engine/strategic_reserves.py:1-43
agriculture,commodity_inputs.py,ZC=F; ZW=F; ZS=F; LE=F; KC=F; SB=F; CC=F; CT=F (price+COT via load_members),Yahoo ZC=F/ZW=F/ZS=F/LE=F/KC=F/SB=F/CC=F/CT=F; CFTC cot_corn/cot_wheat/cot_soybeans/cot_live_cattle/cot_coffee/cot_sugar/cot_cocoa/cot_cotton,price,NONE,engine/commodity_inputs.py:108-124 | config.yml:4231-4238
agriculture,commodity_signals.py,all 8 grain/livestock/soft members,commodity_inputs outputs,signal,NONE,engine/commodity_signals.py:1-26 | scripts/build_commodities.py:1247-1250
agriculture,commodity_mtf.py,all 8 members,engine.cycles equity MTF ladder,signal,NONE,engine/commodity_mtf.py:1-27 | scripts/build_commodities.py:1041-1048
agriculture,commodity_index.py,all 8 members,member price series,signal,NONE,engine/commodity_index.py:1-25 | config.yml:4231-4238
agriculture,commodity_confluence.py,all 8 members,existing engine outputs,signal,NONE,engine/commodity_confluence.py:1-22
agriculture,commodity_cycle_state.py,ZC=F; ZW=F; ZS=F covered ('agriculture' cycle); LE=F; KC=F; SB=F; CC=F; CT=F: NO-COVERAGE (docstring: softs/cattle absent),structural-cycle engine,signal,NONE,engine/commodity_cycle_state.py:14;51
agriculture,commodity_conviction.py; commodity_alerts.py; commodity_news.py; commodity_strategies.py; commodity_carry_context.py; commodity_supply_context.py; strategic_reserves.py,NO-COVERAGE (all seven modules are scoped to the core four / oil only; no agriculture member appears in ORDER/LABEL/COMMODITY_QUERY/carry/supply/reserve),n/a,n/a,NONE,scripts/build_commodities.py:60-73 (ORDER) | engine/commodity_alerts.py:35-36 (LABEL) | engine/commodity_news.py:36-41 (COMMODITY_QUERY) | engine/commodity_carry_context.py | engine/commodity_supply_context.py | engine/strategic_reserves.py (all oil-only)
semiconductors/critical-tech,NONE (no commodity_*.py module or config.yml commodities: entry references any semiconductor/critical-tech material),NO-COVERAGE,n/a,n/a,HS6-import-flow DARK (census_trade.py live; data/trade_flows absent); USGS collector ABSENT,config.yml:4210-4238 (assets + complex_members enumerate all 17 tracked members; none semiconductor-related) | grep -i 'semiconduct|lithium|rare earth|uranium|silicon|cobalt|nickel' engine/commodity_*.py engine/strategic_reserves.py = 0 matches | MARKET_ONTOLOGY_F09_SEMIS_SOURCE_CENSUS_2026-09-09.md
